,run,client,samples,r2
0,0,0,10,-1.4018898938930269
1,0,0,11,-1.2985197228876317
2,0,0,13,0.029038235002084023
3,0,0,16,-0.1133741567360187
4,0,0,19,-0.00148182054142465
5,0,0,22,0.05008126758956777
6,0,0,26,-0.11381497977087096
7,0,0,31,-0.014902849235227666
8,0,0,37,0.1406606649782245
9,0,0,43,0.27836278672233405
10,0,0,51,0.41933156418960194
11,0,0,61,0.4251426348348991
12,0,0,71,0.4786713762987156
13,0,0,84,0.506859018384276
14,0,0,100,0.506859018384276
15,0,1,31,0.1648172060544234
16,0,1,40,0.11845279982117185
17,0,1,51,0.4466720386567903
18,0,1,66,0.4525702498495102
19,0,1,84,0.4962812075119054
20,0,1,108,0.5354259263499508
21,0,1,138,0.5587592326622202
22,0,1,177,0.5779538707010823
23,0,1,227,0.6067754351896768
24,0,1,291,0.6356656854321097
25,0,1,372,0.6627342754920675
26,0,1,477,0.6576156841591618
27,0,1,610,0.6674156864557935
28,0,1,781,0.6666089872487231
29,0,1,1000,0.6666089872487231
30,0,2,100,0.3734254337827223
31,0,2,138,0.5309508494584527
32,0,2,193,0.534703793292256
33,0,2,268,0.5815887095190244
34,0,2,372,0.6076590242618214
35,0,2,517,0.628164281966858
36,0,2,719,0.6481299325882859
37,0,2,1000,0.6687162367033106
38,0,2,1389,0.6696651252515982
39,0,2,1930,0.6909699631801138
40,0,2,2682,0.6974415593779744
41,0,2,3727,0.6980807440411494
42,0,2,5179,0.6999559133548198
43,0,2,7196,0.7051229264760396
44,0,2,10000,0.7051229264760396
45,1,0,10,-1.61714394230833
46,1,0,11,-1.658531197130793
47,1,0,13,-1.1117864785483076
48,1,0,16,-0.21919749581072923
49,1,0,19,-0.11088144300744895
50,1,0,22,-0.06908726612844895
51,1,0,26,-0.08549609856694729
52,1,0,31,0.33876462950489983
53,1,0,37,0.37713988636768947
54,1,0,43,0.3748027730576249
55,1,0,51,0.4030711624140645
56,1,0,61,0.39346805410408614
57,1,0,71,0.42541695952120506
58,1,0,84,0.45702141972118093
59,1,0,100,0.45702141972118093
60,1,1,31,-0.4427033764728392
61,1,1,40,0.11585545899575611
62,1,1,51,0.2278068887659781
63,1,1,66,0.28917186164418696
64,1,1,84,0.3876657792920931
65,1,1,108,0.43960971968712903
66,1,1,138,0.45042406547029157
67,1,1,177,0.5458290646219541
68,1,1,227,0.5655997677543518
69,1,1,291,0.5864660055012533
70,1,1,372,0.5955700403863573
71,1,1,477,0.6018670804265828
72,1,1,610,0.6221033104327143
73,1,1,781,0.620243535174521
74,1,1,1000,0.620243535174521
75,1,2,100,0.47667740376543144
76,1,2,138,0.5182893433479842
77,1,2,193,0.5763377023762264
78,1,2,268,0.6155714531886227
79,1,2,372,0.6508903810415285
80,1,2,517,0.6679751398794989
81,1,2,719,0.6724759172452488
82,1,2,1000,0.6978301089238617
83,1,2,1389,0.710115782579285
84,1,2,1930,0.7134644582062775
85,1,2,2682,0.7198008870062598
86,1,2,3727,0.7258212072207548
87,1,2,5179,0.7354876741601803
88,1,2,7196,0.742118837838553
89,1,2,10000,0.742118837838553
90,2,0,10,-2.5737144460238803
91,2,0,11,-2.2036404407129373
92,2,0,13,-0.26732593171031493
93,2,0,16,-0.05610333691011582
94,2,0,19,0.01813297634629807
95,2,0,22,0.08061959228616633
96,2,0,26,0.29427820976129393
97,2,0,31,0.3394985232614669
98,2,0,37,0.39024649106461307
99,2,0,43,0.36138491576578524
100,2,0,51,0.2502664728573635
101,2,0,61,0.29752386368023775
102,2,0,71,0.3497505063214015
103,2,0,84,0.4068802515867411
104,2,0,100,0.4068802515867411
105,2,1,31,0.19220412584439917
106,2,1,40,0.26136713274011447
107,2,1,51,0.48939406660743423
108,2,1,66,0.497110018496425
109,2,1,84,0.5752471041914549
110,2,1,108,0.6028383477813446
111,2,1,138,0.6548902740153858
112,2,1,177,0.6637157449423875
113,2,1,227,0.6717778431446924
114,2,1,291,0.7051577361204773
115,2,1,372,0.7196419550661928
116,2,1,477,0.723924027729551
117,2,1,610,0.7348217140384596
118,2,1,781,0.7476879808517609
119,2,1,1000,0.7476879808517609
120,2,2,100,0.4438697440428311
121,2,2,138,0.5379322179006653
122,2,2,193,0.5703385982511957
123,2,2,268,0.594470611821011
124,2,2,372,0.5948765603534213
125,2,2,517,0.6355669487007525
126,2,2,719,0.6464668156408706
127,2,2,1000,0.6602355057770135
128,2,2,1389,0.6655339533402896
129,2,2,1930,0.676912483080289
130,2,2,2682,0.6912604934025002
131,2,2,3727,0.6975813147664096
132,2,2,5179,0.7087811755598983
133,2,2,7196,0.7115265188324877
134,2,2,10000,0.7115265188324877
135,3,0,10,-2.8610401465588455
136,3,0,11,-1.2921409301253806
137,3,0,13,-1.083137944693212
138,3,0,16,-0.7772464190037487
139,3,0,19,-0.11956543371330697
140,3,0,22,0.06886687582144224
141,3,0,26,0.03702621972594389
142,3,0,31,0.09864214050816433
143,3,0,37,0.17392346423985827
144,3,0,43,0.3438427037895042
145,3,0,51,0.37533325242671756
146,3,0,61,0.4827184726215542
147,3,0,71,0.4987457659556068
148,3,0,84,0.5498163377018557
149,3,0,100,0.5498163377018557
150,3,1,31,-0.49030998255228453
151,3,1,40,0.3428126137699786
152,3,1,51,0.43368499481911116
153,3,1,66,0.5047021667272362
154,3,1,84,0.5206862052255571
155,3,1,108,0.5698222821996246
156,3,1,138,0.6106856046048967
157,3,1,177,0.6504022291907192
158,3,1,227,0.6551768959675777
159,3,1,291,0.677138495272539
160,3,1,372,0.6971661771659936
161,3,1,477,0.7089120233385253
162,3,1,610,0.7105502625614911
163,3,1,781,0.7088531570563408
164,3,1,1000,0.7088531570563408
165,3,2,100,0.3847819935502288
166,3,2,138,0.4493885246375089
167,3,2,193,0.5472992808793049
168,3,2,268,0.6070065316225375
169,3,2,372,0.6477751469886708
170,3,2,517,0.6838579232128905
171,3,2,719,0.6827152486195671
172,3,2,1000,0.694756289481435
173,3,2,1389,0.7162904409669398
174,3,2,1930,0.7256592751387587
175,3,2,2682,0.738267992115216
176,3,2,3727,0.7530209744378036
177,3,2,5179,0.760172481588487
178,3,2,7196,0.7580988835811371
179,3,2,10000,0.7580988835811371
180,4,0,10,-2.3338471143092017
181,4,0,11,-1.5786502415114092
182,4,0,13,-0.9382233969244063
183,4,0,16,-0.5600272987254136
184,4,0,19,0.09831638838275436
185,4,0,22,0.08525271806022472
186,4,0,26,0.1356092809653512
187,4,0,31,0.3427929855201505
188,4,0,37,0.3342678855328157
189,4,0,43,0.3989836692952944
190,4,0,51,0.40451624237894257
191,4,0,61,0.39755802775220916
192,4,0,71,0.39436563999153473
193,4,0,84,0.39461773379237386
194,4,0,100,0.39461773379237386
195,4,1,31,-0.11402873115360013
196,4,1,40,0.3109530216215317
197,4,1,51,0.4480369620676721
198,4,1,66,0.49865860917715177
199,4,1,84,0.492471540524949
200,4,1,108,0.562627530766487
201,4,1,138,0.5709735928527678
202,4,1,177,0.599264462878509
203,4,1,227,0.5784499680935614
204,4,1,291,0.5882642037492944
205,4,1,372,0.6300641022057625
206,4,1,477,0.6420630433545436
207,4,1,610,0.6448548384910915
208,4,1,781,0.6547306191608293
209,4,1,1000,0.6547306191608293
210,4,2,100,0.4062766699084781
211,4,2,138,0.548868342638742
