,run,client,samples,noise,r2
0,0,0,10,0,-1.0418921120281732
1,0,0,11,0,-1.042279246163274
2,0,0,13,0,-0.8506757692371807
3,0,0,16,0,-0.11304949182348367
4,0,0,19,0,0.06470216190098776
5,0,0,22,0,0.10636783351417234
6,0,0,26,0,0.2176215571610669
7,0,0,31,0,0.3407578801922476
8,0,0,37,0,0.44977129054767107
9,0,0,43,0,0.5748622419176643
10,0,0,51,0,0.5894362022986626
11,0,0,61,0,0.614277319431739
12,0,0,71,0,0.5919472581952374
13,0,0,84,0,0.6066785347676109
14,0,0,100,0,0.6066785347676109
15,0,1,31,0,-0.11848373493177333
16,0,1,40,0,0.06043912717658462
17,0,1,51,0,0.20536840690334357
18,0,1,66,0,0.28504501054553166
19,0,1,84,0,0.3964913436593851
20,0,1,108,0,0.4875499230128345
21,0,1,138,0,0.5081519515390761
22,0,1,177,0,0.49809920752732584
23,0,1,227,0,0.5325796111857464
24,0,1,291,0,0.5442562318716503
25,0,1,372,0,0.5428220173386996
26,0,1,477,0,0.5810040565582444
27,0,1,610,0,0.6270302309589288
28,0,1,781,0,0.6447348187132675
29,0,1,1000,0,0.6447348187132675
30,0,2,100,0,0.35457579180533105
31,0,2,138,0,0.549091157984028
32,0,2,193,0,0.5763370707134031
33,0,2,268,0,0.6089005984697375
34,0,2,372,0,0.6347705890981701
35,0,2,517,0,0.6675520952905798
36,0,2,719,0,0.6794306554313104
37,0,2,1000,0,0.6842634319512859
38,0,2,1389,0,0.6845267296064746
39,0,2,1930,0,0.7072098672260207
40,0,2,2682,0,0.7180297253329924
41,0,2,3727,0,0.7139920349999016
42,0,2,5179,0,0.717084603363833
43,0,2,7196,0,0.7194053297259462
44,0,2,10000,0,0.7194053297259462
45,0,0,10,1,-1.0418921120281732
46,0,0,11,1,-1.042279246163274
47,0,0,13,1,-0.8506757692371807
48,0,0,16,1,-0.11304949182348367
49,0,0,19,1,0.06470216190098776
50,0,0,22,1,0.10636783351417234
51,0,0,26,1,0.24276725303905033
52,0,0,31,1,0.3568223598103152
53,0,0,37,1,0.434041459110852
54,0,0,43,1,0.44879100421216456
55,0,0,51,1,0.49881265365267535
56,0,0,61,1,0.5411137650642438
57,0,0,71,1,0.535840863763134
58,0,0,84,1,0.5677534704714784
59,0,0,100,1,0.5677534704714784
60,0,1,31,1,-0.11848373493177333
61,0,1,40,1,0.06043912717658462
62,0,1,51,1,0.20536840690334357
63,0,1,66,1,0.28504501054553166
64,0,1,84,1,0.3964913436593851
65,0,1,108,1,0.4875499230128345
66,0,1,138,1,0.5075679775272695
67,0,1,177,1,0.49656094017133445
68,0,1,227,1,0.5307444309392745
69,0,1,291,1,0.5417429353895749
70,0,1,372,1,0.5394242231329744
71,0,1,477,1,0.5791936054327567
72,0,1,610,1,0.6264772109935499
73,0,1,781,1,0.6430604464978232
74,0,1,1000,1,0.6430604464978232
75,0,2,100,1,0.3549274722168513
76,0,2,138,1,0.5506768005487087
77,0,2,193,1,0.5831571204597967
78,0,2,268,1,0.609779243024126
79,0,2,372,1,0.6296956971447684
80,0,2,517,1,0.6622800222723526
81,0,2,719,1,0.6771280259888948
82,0,2,1000,1,0.6809838499154106
83,0,2,1389,1,0.6821222500417469
84,0,2,1930,1,0.705796329477534
85,0,2,2682,1,0.7171810663881841
86,0,2,3727,1,0.7129885268604677
87,0,2,5179,1,0.7173570392168405
88,0,2,7196,1,0.7205706569353671
89,0,2,10000,1,0.7205706569353671
90,0,0,10,2,-1.0418921120281732
91,0,0,11,2,-1.042279246163274
92,0,0,13,2,-0.8506757692371807
93,0,0,16,2,-0.11304949182348367
94,0,0,19,2,0.06470216190098776
95,0,0,22,2,0.10636783351417234
96,0,0,26,2,0.2176215571610669
97,0,0,31,2,0.3407578801922476
98,0,0,37,2,0.44977129054767107
99,0,0,43,2,0.5748622419176643
100,0,0,51,2,0.5562437115663001
101,0,0,61,2,0.5864380699517964
102,0,0,71,2,0.5579030792820366
103,0,0,84,2,0.5825146286146543
104,0,0,100,2,0.5825146286146543
105,0,1,31,2,-0.11848373493177333
106,0,1,40,2,0.06043912717658462
107,0,1,51,2,0.20536840690334357
108,0,1,66,2,0.28504501054553166
109,0,1,84,2,0.397142300393847
110,0,1,108,2,0.47590845055772213
111,0,1,138,2,0.5007095714881611
112,0,1,177,2,0.49127178275588124
113,0,1,227,2,0.5271446368919603
114,0,1,291,2,0.5306954720386394
115,0,1,372,2,0.5370119286472985
116,0,1,477,2,0.5613014158782592
117,0,1,610,2,0.6158263141391964
118,0,1,781,2,0.6342239433183434
119,0,1,1000,2,0.6342239433183434
120,0,2,100,2,0.35457579180533105
121,0,2,138,2,0.532595898791598
122,0,2,193,2,0.5753874444398057
123,0,2,268,2,0.6058760703444475
124,0,2,372,2,0.6326627985228861
125,0,2,517,2,0.661435993657725
126,0,2,719,2,0.6734726452685601
127,0,2,1000,2,0.6767613108973777
128,0,2,1389,2,0.677969911284254
129,0,2,1930,2,0.7015060005364235
130,0,2,2682,2,0.7134790039420034
131,0,2,3727,2,0.7097995486720821
132,0,2,5179,2,0.7109538492912661
133,0,2,7196,2,0.7135935516690426
134,0,2,10000,2,0.7135935516690426
135,0,0,10,3,-1.0418921120281732
136,0,0,11,3,-1.042279246163274
137,0,0,13,3,-0.8506757692371807
138,0,0,16,3,-0.11304949182348367
139,0,0,19,3,0.06470216190098776
140,0,0,22,3,0.10636783351417234
141,0,0,26,3,0.2176215571610669
142,0,0,31,3,0.3407578801922476
143,0,0,37,3,0.44977129054767107
144,0,0,43,3,0.5748622419176643
145,0,0,51,3,0.5859146011296824
146,0,0,61,3,0.6131138361935708
147,0,0,71,3,0.5545644652487423
148,0,0,84,3,0.5608134689328558
149,0,0,100,3,0.5608134689328558
150,0,1,31,3,-0.4793690697175401
151,0,1,40,3,-0.20295543923932513
