,run,client,samples,noise,r2
0,0,0,10,0.0,-2.1266326672607505
1,0,0,11,0.0,-0.9319530736460939
2,0,0,13,0.0,-0.3133258272325645
3,0,0,16,0.0,-0.15770631387478673
4,0,0,19,0.0,0.06897921801388163
5,0,0,22,0.0,0.15398095113982013
6,0,0,26,0.0,0.28654360751522456
7,0,0,31,0.0,0.3614960656165733
8,0,0,37,0.0,0.5128907407986383
9,0,0,43,0.0,0.5362753755775505
10,0,0,51,0.0,0.5549778015138818
11,0,0,61,0.0,0.598251829618068
12,0,0,71,0.0,0.6016355625774734
13,0,0,84,0.0,0.5888343253041224
14,0,0,100,0.0,0.5888343253041224
15,0,1,31,0.0,0.06605797020339876
16,0,1,40,0.0,0.04919484789875961
17,0,1,51,0.0,0.19328198289179055
18,0,1,66,0.0,0.34831107561266283
19,0,1,84,0.0,0.44731940061028375
20,0,1,108,0.0,0.4995042144530486
21,0,1,138,0.0,0.4981350053286213
22,0,1,177,0.0,0.5000490402912894
23,0,1,227,0.0,0.5186331344299173
24,0,1,291,0.0,0.5332012955902635
25,0,1,372,0.0,0.5366599776296667
26,0,1,477,0.0,0.5947017203758787
27,0,1,610,0.0,0.6110747184402407
28,0,1,781,0.0,0.6296728784837808
29,0,1,1000,0.0,0.6296728784837808
30,0,2,100,0.0,0.336765806076179
31,0,2,138,0.0,0.49346836128677185
32,0,2,193,0.0,0.5721055455110313
33,0,2,268,0.0,0.5791013101753302
34,0,2,372,0.0,0.5934067671645271
35,0,2,517,0.0,0.6236227687211845
36,0,2,719,0.0,0.6487269348133802
37,0,2,1000,0.0,0.6571899932991153
38,0,2,1389,0.0,0.6615345868322029
39,0,2,1930,0.0,0.6752690461990054
40,0,2,2682,0.0,0.6653179433818478
41,0,2,3727,0.0,0.671748051611754
42,0,2,5179,0.0,0.6739282854903628
43,0,2,7196,0.0,0.6779405787387729
44,0,2,10000,0.0,0.6779405787387729
45,0,c1_c3,100,0.0,0.5871634110561157
46,0,c1_c3,200,0.0,0.5858429459337837
47,0,c1_c3,238,0.0,0.6018507664477801
48,0,c1_c3,293,0.0,0.6196050012521201
49,0,c1_c3,368,0.0,0.6385492642598736
50,0,c1_c3,472,0.0,0.6416883789831908
51,0,c1_c3,617,0.0,0.6481191472979209
52,0,c1_c3,819,0.0,0.6626118493989738
