,run,client,samples,noise,r2
0,0,0,10,-99.0,-3.583153664432267
1,0,0,11,-99.0,-0.8531339632633326
2,0,0,13,-99.0,-0.7341004388681924
3,0,0,16,-99.0,-0.645966047995538
4,0,0,19,-99.0,-0.3848976507223947
5,0,0,22,-99.0,-0.3060585042503725
6,0,0,26,-99.0,0.07378726458493856
7,0,0,31,-99.0,-0.059570083410573904
8,0,0,37,-99.0,0.2524030335591487
9,0,0,43,-99.0,0.26442380459049175
10,0,0,51,-99.0,0.2587552778065565
11,0,0,61,-99.0,0.2284599185022026
12,0,0,71,-99.0,0.23487071938784876
13,0,0,84,-99.0,0.26584325030105393
14,0,0,100,-99.0,0.26584325030105393
15,0,1,31,-99.0,0.25913025896149355
16,0,1,40,-99.0,0.3312718425581469
17,0,1,51,-99.0,0.35428657518294604
18,0,1,66,-99.0,0.4113560221790292
19,0,1,84,-99.0,0.41474232247686293
20,0,1,108,-99.0,0.44461812910318455
21,0,1,138,-99.0,0.4711438851687084
22,0,1,177,-99.0,0.48994387939887807
23,0,1,227,-99.0,0.5144864034335395
24,0,1,291,-99.0,0.5243517124906725
25,0,1,372,-99.0,0.5243610349350676
26,0,1,477,-99.0,0.5447898887977585
27,0,1,610,-99.0,0.5738233385308821
28,0,1,781,-99.0,0.5815882898745637
29,0,1,1000,-99.0,0.5815882898745637
30,0,2,100,-99.0,0.26333405010661304
31,0,2,138,-99.0,0.5234665357380133
32,0,2,193,-99.0,0.6180865740394723
33,0,2,268,-99.0,0.6136023720365386
34,0,2,372,-99.0,0.6335679563309785
35,0,2,517,-99.0,0.6729661910607163
36,0,2,719,-99.0,0.6650700155352602
37,0,2,1000,-99.0,0.687041305109442
38,0,2,1389,-99.0,0.7074491877759088
39,0,2,1930,-99.0,0.7275977677863923
40,0,2,2682,-99.0,0.7311741627830799
41,0,2,3727,-99.0,0.7282514974708927
42,0,2,5179,-99.0,0.7334988845650703
43,0,2,7196,-99.0,0.7376450526128686
44,0,2,10000,-99.0,0.7376450526128686
45,0,0,10,0.1,-3.6101674511349167
46,0,0,11,0.1,-0.9291301908967706
47,0,0,13,0.1,-0.8448241027203853
48,0,0,16,0.1,-0.6478968850049405
49,0,0,19,0.1,-0.4527151075967921
50,0,0,22,0.1,-0.37563071926498326
51,0,0,26,0.1,0.050928860199630055
52,0,0,31,0.1,-0.06833285294208324
53,0,0,37,0.1,0.24289794689683564
54,0,0,43,0.1,0.2419840378002438
55,0,0,51,0.1,0.21959236109534053
56,0,0,61,0.1,0.21348864634044973
57,0,0,71,0.1,0.21950549635599514
58,0,0,84,0.1,0.2403213725273926
59,0,0,100,0.1,0.2403213725273926
60,0,1,31,0.1,0.2370366696228252
61,0,1,40,0.1,0.32692992080435634
62,0,1,51,0.1,0.34552889643014817
63,0,1,66,0.1,0.4001159737538904
64,0,1,84,0.1,0.396372965549622
65,0,1,108,0.1,0.4250374333345821
66,0,1,138,0.1,0.4625151988402769
67,0,1,177,0.1,0.48371093925034825
68,0,1,227,0.1,0.5073114904816584
69,0,1,291,0.1,0.5135144082495833
70,0,1,372,0.1,0.5210193886669419
71,0,1,477,0.1,0.536089088736499
72,0,1,610,0.1,0.5697299079774752
73,0,1,781,0.1,0.5705461329290409
74,0,1,1000,0.1,0.5705461329290409
75,0,2,100,0.1,0.25719872526496845
76,0,2,138,0.1,0.5274056763003805
77,0,2,193,0.1,0.5852105636865377
78,0,2,268,0.1,0.5904949428280042
79,0,2,372,0.1,0.6180648050467179
80,0,2,517,0.1,0.657430265758983
81,0,2,719,0.1,0.6536458629803843
82,0,2,1000,0.1,0.6824386454043729
83,0,2,1389,0.1,0.7019536496769736
84,0,2,1930,0.1,0.7211368491303836
85,0,2,2682,0.1,0.7257121974742602
86,0,2,3727,0.1,0.7263944220625336
87,0,2,5179,0.1,0.7329042176907582
88,0,2,7196,0.1,0.7358696013603536
89,0,2,10000,0.1,0.7358696013603536
90,0,0,10,0.31622776601683794,-3.605560680985504
91,0,0,11,0.31622776601683794,-1.2050483362862545
92,0,0,13,0.31622776601683794,-1.1889981271502061
93,0,0,16,0.31622776601683794,-0.8085403825208515
94,0,0,19,0.31622776601683794,-0.453860763467137
95,0,0,22,0.31622776601683794,-0.3881632797854524
96,0,0,26,0.31622776601683794,0.012033454767945484
97,0,0,31,0.31622776601683794,-0.0478593558216267
98,0,0,37,0.31622776601683794,0.22586664837640613
99,0,0,43,0.31622776601683794,0.23796324635174493
100,0,0,51,0.31622776601683794,0.25162326365018717
101,0,0,61,0.31622776601683794,0.2207973976795391
102,0,0,71,0.31622776601683794,0.22181580525586742
103,0,0,84,0.31622776601683794,0.2303697635976779
104,0,0,100,0.31622776601683794,0.2303697635976779
105,0,1,31,0.31622776601683794,0.12620205716831812
106,0,1,40,0.31622776601683794,0.28720709432773917
107,0,1,51,0.31622776601683794,0.33890619380300435
108,0,1,66,0.31622776601683794,0.3630770537109681
109,0,1,84,0.31622776601683794,0.3852118763816076
110,0,1,108,0.31622776601683794,0.42556264074143324
111,0,1,138,0.31622776601683794,0.4713591918784177
112,0,1,177,0.31622776601683794,0.45967737915305407
113,0,1,227,0.31622776601683794,0.4827819590065038
114,0,1,291,0.31622776601683794,0.49440761490178153
115,0,1,372,0.31622776601683794,0.49018796630870176
116,0,1,477,0.31622776601683794,0.5070849033096447
117,0,1,610,0.31622776601683794,0.53470682474526
118,0,1,781,0.31622776601683794,0.5654866200409117
119,0,1,1000,0.31622776601683794,0.5654866200409117
120,0,2,100,0.31622776601683794,0.2741980488853215
121,0,2,138,0.31622776601683794,0.48869374123981624
122,0,2,193,0.31622776601683794,0.5523731588175083
123,0,2,268,0.31622776601683794,0.591298476676265
124,0,2,372,0.31622776601683794,0.6235293093159253
125,0,2,517,0.31622776601683794,0.6562577827723425
126,0,2,719,0.31622776601683794,0.6354902586109599
127,0,2,1000,0.31622776601683794,0.6422473021266982
128,0,2,1389,0.31622776601683794,0.6680621697782949
129,0,2,1930,0.31622776601683794,0.6774549885617326
130,0,2,2682,0.31622776601683794,0.6772641638841966
131,0,2,3727,0.31622776601683794,0.6841927407939306
132,0,2,5179,0.31622776601683794,0.6896257179013333
133,0,2,7196,0.31622776601683794,0.690911378894788
134,0,2,10000,0.31622776601683794,0.690911378894788
135,0,0,10,1.0,-3.868828471455566
136,0,0,11,1.0,-2.474061555795286
137,0,0,13,1.0,-2.4059059603217383
138,0,0,16,1.0,-1.8931419813478896
139,0,0,19,1.0,-1.4746583646970461
140,0,0,22,1.0,-1.5461000516488053
