,run,client,samples,r2
0,0,0,10,-0.8668029379670206
1,0,0,11,-0.33586363622055915
2,0,0,13,-0.3066901239573099
3,0,0,16,-0.29831996180183906
4,0,0,19,0.2464995241084651
5,0,0,22,0.24492250550993777
6,0,0,26,0.3357905481459905
7,0,0,31,0.3588230349997985
8,0,0,37,0.35848173455275056
9,0,0,43,0.37836082538110305
10,0,0,51,0.47645485882052085
11,0,0,61,0.5132636025194248
12,0,0,71,0.5257997247946018
13,0,0,84,0.5811010523528419
14,0,0,100,0.5811010523528419
15,0,1,31,0.2781632530356235
16,0,1,40,0.24836968075681698
17,0,1,51,0.2845951714859106
18,0,1,66,0.28239978869609994
19,0,1,84,0.44450369682396096
20,0,1,108,0.5521175380304868
21,0,1,138,0.5343136638862178
22,0,1,177,0.5195070963438653
23,0,1,227,0.5284709478773012
24,0,1,291,0.5542892141502453
25,0,1,372,0.5741688599483824
26,0,1,477,0.5929899120629094
27,0,1,610,0.6243577398482332
28,0,1,781,0.6411014660169232
29,0,1,1000,0.6411014660169232
30,0,2,100,0.3728061279904126
31,0,2,138,0.4709721143575287
32,0,2,193,0.5786766450671066
33,0,2,268,0.5468050783075831
34,0,2,372,0.5955714766297066
35,0,2,517,0.617943083108589
36,0,2,719,0.6352905888803169
37,0,2,1000,0.6523732112591123
38,0,2,1389,0.6706563840404254
39,0,2,1930,0.6770407518556221
40,0,2,2682,0.6859269815951292
41,0,2,3727,0.6918156329673827
42,0,2,5179,0.6938881569282969
43,0,2,7196,0.6983710854729086
44,0,2,10000,0.6983710854729086
45,1,0,10,-1.2599092022778913
46,1,0,11,-0.6201391241569723
47,1,0,13,0.06516774938034764
48,1,0,16,-0.02337588735325169
49,1,0,19,0.007335100615912471
50,1,0,22,0.02532302814986198
51,1,0,26,0.11622616648880102
52,1,0,31,0.12009869275127194
53,1,0,37,0.15544917485946075
54,1,0,43,0.2212442421063261
55,1,0,51,0.43528360571949487
56,1,0,61,0.4816396476075011
57,1,0,71,0.45669884466609667
58,1,0,84,0.5058893256259662
59,1,0,100,0.5058893256259662
60,1,1,31,-0.2917840647989196
61,1,1,40,0.21400086157342202
62,1,1,51,0.22124944836611926
63,1,1,66,0.39901220007386673
64,1,1,84,0.4694804879360026
65,1,1,108,0.528924333320928
66,1,1,138,0.4784017549074806
67,1,1,177,0.4954499452713861
68,1,1,227,0.5128922148182973
69,1,1,291,0.5423188327550498
70,1,1,372,0.575508733582913
71,1,1,477,0.6056306888118368
72,1,1,610,0.6185649343048207
73,1,1,781,0.6393934455959017
74,1,1,1000,0.6393934455959017
75,1,2,100,0.4018871707459877
76,1,2,138,0.5057957576974734
77,1,2,193,0.5225306197041989
78,1,2,268,0.574325472332616
79,1,2,372,0.5807336714720897
80,1,2,517,0.6217747737205861
81,1,2,719,0.6368707622184381
82,1,2,1000,0.6617011473463978
83,1,2,1389,0.6745599839415548
84,1,2,1930,0.6777708267124994
85,1,2,2682,0.6827555522512758
86,1,2,3727,0.686453591321763
87,1,2,5179,0.6884827815416674
88,1,2,7196,0.693012624354087
89,1,2,10000,0.693012624354087
90,2,0,10,-1.8888072487269159
91,2,0,11,-1.6021350016112343
92,2,0,13,-1.1364814756661459
93,2,0,16,-0.6060963953410046
94,2,0,19,-0.5789635248748299
95,2,0,22,0.06281751167272709
96,2,0,26,0.17866333004193158
97,2,0,31,0.20093054244226438
98,2,0,37,0.38531183281208303
99,2,0,43,0.48111408799600175
100,2,0,51,0.48607420340742635
101,2,0,61,0.5192080357898895
102,2,0,71,0.5475176936311188
103,2,0,84,0.5754641214909386
104,2,0,100,0.5754641214909386
105,2,1,31,0.2704632883487189
106,2,1,40,0.2783802544544134
107,2,1,51,0.415714290281343
108,2,1,66,0.3679994687109217
109,2,1,84,0.42494715349716294
110,2,1,108,0.4763746894053399
111,2,1,138,0.533588256085928
112,2,1,177,0.5691131548896162
113,2,1,227,0.5894012690977468
114,2,1,291,0.5904118375796066
115,2,1,372,0.6017006466462501
116,2,1,477,0.6124060848473989
117,2,1,610,0.6173109619901656
118,2,1,781,0.631487557105531
119,2,1,1000,0.631487557105531
120,2,2,100,0.3866058319933815
121,2,2,138,0.4866871563040084
122,2,2,193,0.5087779088737436
123,2,2,268,0.5652830254930972
124,2,2,372,0.597466099817809
125,2,2,517,0.6099504491608295
126,2,2,719,0.6357133055769402
127,2,2,1000,0.647996587862964
128,2,2,1389,0.659731784059507
129,2,2,1930,0.668307093008761
130,2,2,2682,0.6748795122692057
131,2,2,3727,0.6790807180503533
132,2,2,5179,0.6828025973522411
133,2,2,7196,0.6860280286572042
134,2,2,10000,0.6860280286572042
135,3,0,10,-2.928709999717177
136,3,0,11,-0.7140648328089356
137,3,0,13,0.15987862007312237
138,3,0,16,-0.055118300802740716
139,3,0,19,0.1309764749912632
140,3,0,22,0.20747711629458365
141,3,0,26,0.20270550226868
142,3,0,31,0.3687264594768911
143,3,0,37,0.42961051491499
144,3,0,43,0.4754073110278755
145,3,0,51,0.48186406992650044
146,3,0,61,0.4843447173403721
147,3,0,71,0.5135736633790516
148,3,0,84,0.4740423662507771
149,3,0,100,0.4740423662507771
150,3,1,31,0.09067035110034272
151,3,1,40,0.26598860113670575
152,3,1,51,0.34512753893513914
153,3,1,66,0.32414097297489486
154,3,1,84,0.43577689532041897
155,3,1,108,0.4945881029330097
156,3,1,138,0.502562004560035
157,3,1,177,0.5527148981015235
158,3,1,227,0.5586586621094631
159,3,1,291,0.5829261754412252
160,3,1,372,0.6008596629929861
161,3,1,477,0.6139973211712668
162,3,1,610,0.6255477344379856
163,3,1,781,0.6388793955333796
164,3,1,1000,0.6388793955333796
165,3,2,100,0.4129339666761279
166,3,2,138,0.47041832515245263
167,3,2,193,0.5137613283076408
168,3,2,268,0.5601587977140832
169,3,2,372,0.5740661162261251
170,3,2,517,0.6080425070873581
171,3,2,719,0.6311060248488527
172,3,2,1000,0.6492988328635229
173,3,2,1389,0.6645660972625118
174,3,2,1930,0.6757724787840302
175,3,2,2682,0.6801574164120829
176,3,2,3727,0.6862191311319569
177,3,2,5179,0.6879943401788942
178,3,2,7196,0.6912984980614026
179,3,2,10000,0.6912984980614026
180,4,0,10,-1.2224370218461917
181,4,0,11,-0.5030967325845415
182,4,0,13,-0.34892985237090257
183,4,0,16,0.07852236770223286
184,4,0,19,0.16084835405683584
185,4,0,22,0.23105327304155965
186,4,0,26,0.3044061651891722
187,4,0,31,0.37564522751998386
188,4,0,37,0.370689483717772
189,4,0,43,0.3760525748327067
190,4,0,51,0.4537189410512038
191,4,0,61,0.4538326014363968
192,4,0,71,0.4920956270347334
193,4,0,84,0.4641467977067215
194,4,0,100,0.4641467977067215
195,4,1,31,0.20696139849620743
196,4,1,40,0.2298529236424911
197,4,1,51,0.25041342844893
198,4,1,66,0.2981547244537288
199,4,1,84,0.40153982241282316
200,4,1,108,0.4995516368242602
201,4,1,138,0.5345175862030733
202,4,1,177,0.5538813339532707
203,4,1,227,0.5579210003087876
204,4,1,291,0.5765663212273435
205,4,1,372,0.5999658248557596
206,4,1,477,0.6240390803378366
207,4,1,610,0.6434327348620064
208,4,1,781,0.6527806708761853
209,4,1,1000,0.6527806708761853
210,4,2,100,0.40831923924750047
211,4,2,138,0.4982731062524972
212,4,2,193,0.5365427837969295
213,4,2,268,0.5880152230366513
214,4,2,372,0.6117191915221099
215,4,2,517,0.6192506507841329
216,4,2,719,0.6330090405636453
217,4,2,1000,0.6504549133795008
218,4,2,1389,0.6590809088798697
219,4,2,1930,0.6681234278645081
220,4,2,2682,0.6794137329688954
221,4,2,3727,0.6823590516980029
222,4,2,5179,0.6874486098067386
223,4,2,7196,0.6889710967679521
224,4,2,10000,0.6889710967679521
225,5,0,10,-1.067602881625072
226,5,0,11,-0.3492741683976366
227,5,0,13,-0.2320397849031468
228,5,0,16,0.036258431927560286
229,5,0,19,0.375706076919453
230,5,0,22,0.3335945142605101
231,5,0,26,0.2769783915798063
232,5,0,31,0.26765353325968466
233,5,0,37,0.3776880882611481
234,5,0,43,0.4009911395663448
235,5,0,51,0.4510391749684506
236,5,0,61,0.49975691324439286
237,5,0,71,0.5080119420208864
238,5,0,84,0.5139215988151555
239,5,0,100,0.5139215988151555
240,5,1,31,0.09104134007100118
241,5,1,40,0.34976148928613715
242,5,1,51,0.37080486665617685
243,5,1,66,0.44511889703562457
244,5,1,84,0.486795180376527
245,5,1,108,0.4974706462599684
246,5,1,138,0.5550733615834444
247,5,1,177,0.5779267606832671
248,5,1,227,0.5814568949553587
249,5,1,291,0.5865045676162648
250,5,1,372,0.5991147336027214
251,5,1,477,0.6208589329985222
252,5,1,610,0.6313766231789513
253,5,1,781,0.6417473487153884
254,5,1,1000,0.6417473487153884
255,5,2,100,0.329167090111703
256,5,2,138,0.460060805604118
257,5,2,193,0.4731089355317527
258,5,2,268,0.5360234845713129
259,5,2,372,0.5947651774133301
260,5,2,517,0.6073667799324236
261,5,2,719,0.6334680752308525
262,5,2,1000,0.6334948972442553
263,5,2,1389,0.6502727596178848
264,5,2,1930,0.660273261764622
265,5,2,2682,0.6670316326011976
266,5,2,3727,0.6732543430421545
267,5,2,5179,0.6786176456724685
268,5,2,7196,0.6831405577445133
269,5,2,10000,0.6831405577445133
270,6,0,10,-2.157636079827214
271,6,0,11,-1.6199025382026857
272,6,0,13,-0.04713029236045507
273,6,0,16,0.17349576865819105
274,6,0,19,0.16662895384534404
275,6,0,22,0.18129401621450847
276,6,0,26,0.3596883494432468
277,6,0,31,0.3063629786784505
278,6,0,37,0.3995863799628805
279,6,0,43,0.47341840771548427
280,6,0,51,0.5204756235377783
281,6,0,61,0.4842829711512213
282,6,0,71,0.46965828225350514
283,6,0,84,0.49849915798772493
284,6,0,100,0.49849915798772493
285,6,1,31,-0.7446984421420937
286,6,1,40,0.16664629637836825
287,6,1,51,0.3584675837536756
288,6,1,66,0.44953433407125576
289,6,1,84,0.4898172202825669
290,6,1,108,0.5070101933575165
291,6,1,138,0.5222346309357281
292,6,1,177,0.5310820442184192
293,6,1,227,0.5794883653124548
294,6,1,291,0.5795042942290505
295,6,1,372,0.598074783306368
296,6,1,477,0.6173995028356394
297,6,1,610,0.623865776396864
298,6,1,781,0.6285524901812318
299,6,1,1000,0.6285524901812318
300,6,2,100,0.4317040099792754
301,6,2,138,0.47135873799225825
302,6,2,193,0.5102301296469289
303,6,2,268,0.5726745517607266
304,6,2,372,0.5941413418286678
305,6,2,517,0.633051884999271
306,6,2,719,0.6472596538968143
307,6,2,1000,0.6622206217082869
308,6,2,1389,0.6742810125065581
309,6,2,1930,0.6828910764532072
310,6,2,2682,0.6901053222685862
311,6,2,3727,0.6954233345456533
312,6,2,5179,0.6981843872895033
313,6,2,7196,0.7020254881998417
314,6,2,10000,0.7020254881998417
315,7,0,10,-3.0111204090513306
316,7,0,11,-2.238652174425584
317,7,0,13,-1.0979601543548045
318,7,0,16,-0.8654612507098804
319,7,0,19,-0.23841907365264925
320,7,0,22,-0.33861814317783856
321,7,0,26,-0.18922577028113774
322,7,0,31,0.12267053995163701
323,7,0,37,0.3155887324425902
324,7,0,43,0.39173263051331864
325,7,0,51,0.3651604510132088
326,7,0,61,0.3965601647843354
327,7,0,71,0.4430809963833414
328,7,0,84,0.5023336940634728
329,7,0,100,0.5023336940634728
330,7,1,31,-0.28920101942139476
331,7,1,40,0.2763591676267537
332,7,1,51,0.3876425697908483
333,7,1,66,0.4075397274037723
334,7,1,84,0.4923175805343636
335,7,1,108,0.520506019305545
336,7,1,138,0.5481476139022188
337,7,1,177,0.584481575929988
338,7,1,227,0.6010473077896342
339,7,1,291,0.5999629274800053
340,7,1,372,0.6207198671399536
341,7,1,477,0.6211461583913456
342,7,1,610,0.6251356658400564
343,7,1,781,0.640944972924582
344,7,1,1000,0.640944972924582
345,7,2,100,0.34928968490851553
346,7,2,138,0.4668399692545627
347,7,2,193,0.5301621279596467
348,7,2,268,0.575079997051636
349,7,2,372,0.5760581633329374
350,7,2,517,0.59619913690425
351,7,2,719,0.6343374602196217
352,7,2,1000,0.6446770675413953
353,7,2,1389,0.6586479602535493
354,7,2,1930,0.6711095262877523
355,7,2,2682,0.6796966672076443
356,7,2,3727,0.6878304641731068
357,7,2,5179,0.6908334223949965
358,7,2,7196,0.6935888978262369
359,7,2,10000,0.6935888978262369
360,8,0,10,-3.34711681191082
361,8,0,11,-0.3035289966820891
362,8,0,13,-0.25448693474430684
363,8,0,16,0.2275804587632001
364,8,0,19,0.2464514449809203
365,8,0,22,0.36683316291495915
366,8,0,26,0.38254375442777167
367,8,0,31,0.4083507256858532
368,8,0,37,0.3620460244593079
369,8,0,43,0.4265284895798127
370,8,0,51,0.43196192512211995
371,8,0,61,0.4450546224454679
372,8,0,71,0.4749286462958521
373,8,0,84,0.47436323812190906
374,8,0,100,0.47436323812190906
375,8,1,31,-0.10531127436586263
376,8,1,40,0.3111700696379298
377,8,1,51,0.40035226760094134
378,8,1,66,0.3410510623751333
379,8,1,84,0.3798765499383093
380,8,1,108,0.42963025384908105
381,8,1,138,0.5013800977096148
382,8,1,177,0.5451755383451344
383,8,1,227,0.5774807912190445
384,8,1,291,0.585817269837251
385,8,1,372,0.6088317289125071
386,8,1,477,0.6380696296108174
387,8,1,610,0.6440549813270576
388,8,1,781,0.647738458862132
389,8,1,1000,0.647738458862132
390,8,2,100,0.32329519631863957
391,8,2,138,0.5282925985620728
392,8,2,193,0.5700670015300027
393,8,2,268,0.6042047551446663
394,8,2,372,0.6157409925198638
395,8,2,517,0.632331399198712
396,8,2,719,0.6352188906552454
397,8,2,1000,0.6460999274931407
398,8,2,1389,0.6592068142795512
399,8,2,1930,0.6703054275513539
400,8,2,2682,0.675457638795012
401,8,2,3727,0.6807572121046752
402,8,2,5179,0.684531702572432
403,8,2,7196,0.6869984622960476
404,8,2,10000,0.6869984622960476
405,9,0,10,-2.5673981770119596
406,9,0,11,-2.0605358215078127
407,9,0,13,-0.6868679474740125
408,9,0,16,-0.14672238770651025
409,9,0,19,0.09520709659230198
410,9,0,22,0.18148862021142975
411,9,0,26,0.3324896792148585
412,9,0,31,0.29620241260964686
413,9,0,37,0.3502907582925683
414,9,0,43,0.387238915161056
415,9,0,51,0.44917281442857226
416,9,0,61,0.49537147862078146
417,9,0,71,0.48155343928476113
418,9,0,84,0.49832002175292733
419,9,0,100,0.49832002175292733
420,9,1,31,-0.20347066279641335
421,9,1,40,0.042385244152564394
422,9,1,51,0.347488088831006
423,9,1,66,0.43340125738761826
424,9,1,84,0.4446944218100136
425,9,1,108,0.4596091378577837
426,9,1,138,0.48857915201292224
427,9,1,177,0.5329698237026463
428,9,1,227,0.581718858117575
429,9,1,291,0.5915640326852787
430,9,1,372,0.6102667797582466
431,9,1,477,0.6195540376662609
432,9,1,610,0.6319141618916609
433,9,1,781,0.6466773771981884
434,9,1,1000,0.6466773771981884
435,9,2,100,0.3206684296444636
436,9,2,138,0.5105737281460172
437,9,2,193,0.5696802020449447
438,9,2,268,0.6124522396276595
439,9,2,372,0.625830206567573
440,9,2,517,0.631219830493496
441,9,2,719,0.649172142705118
442,9,2,1000,0.6530191363729945
443,9,2,1389,0.6594539277638906
