,run,client,samples,r2
0,0,c1_c2,131,0.5733642275887586
1,0,c1_c2,140,0.5582546332449035
2,0,c1_c2,151,0.5567237311505716
3,0,c1_c2,166,0.5457969827003308
4,0,c1_c2,184,0.5853567624773418
5,0,c1_c2,208,0.5986666652501584
6,0,c1_c2,238,0.6207725033658926
7,0,c1_c2,277,0.6418795533615924
8,0,c1_c2,327,0.6178314265697689
9,0,c1_c2,391,0.5999697941680227
10,0,c1_c2,472,0.6012851621982138
11,0,c1_c2,577,0.6226398334670753
12,0,c1_c2,710,0.6211172883550925
13,0,c1_c2,881,0.6430188973350552
14,0,c1_c2,1100,0.6542521681799907
15,0,c1_c3,200,0.5733642275887586
16,0,c1_c3,238,0.5954525203761323
17,0,c1_c3,293,0.5908923302111725
18,0,c1_c3,368,0.6038720164136824
19,0,c1_c3,472,0.6234743150679509
20,0,c1_c3,617,0.6502062067108407
21,0,c1_c3,819,0.6764970439409638
22,0,c1_c3,1100,0.6685114816691421
23,0,c1_c3,1489,0.673823334756076
24,0,c1_c3,2030,0.6830421455702058
25,0,c1_c3,2782,0.6859676637714247
26,0,c1_c3,3827,0.6952429231035074
27,0,c1_c3,5279,0.7100297153259699
28,0,c1_c3,7296,0.7118077684432822
29,0,c1_c3,10100,0.7128685662480468
30,0,c2_c3,1100,0.6334422680754115
31,0,c2_c3,1138,0.6333038704743328
32,0,c2_c3,1193,0.6419450416222716
33,0,c2_c3,1268,0.6432281129688067
34,0,c2_c3,1372,0.6452087564976976
35,0,c2_c3,1517,0.6516172289744988
36,0,c2_c3,1719,0.6524525397886533
37,0,c2_c3,2000,0.6587019682080639
38,0,c2_c3,2389,0.6618814389018589
39,0,c2_c3,2930,0.6684141209060532
40,0,c2_c3,3682,0.6720937856626897
41,0,c2_c3,4727,0.6746401021273938
42,0,c2_c3,6179,0.6800584615510943
43,0,c2_c3,8196,0.6843196227934107
44,0,c2_c3,11000,0.6871355275040187
45,0,c1_c2,131,0.5733642275887586
46,0,c1_c2,140,0.5582546332449035
47,0,c1_c2,151,0.5567237311505716
48,0,c1_c2,166,0.5457969827003308
49,0,c1_c2,184,0.5853567624773418
50,0,c1_c2,208,0.5986666652501584
51,0,c1_c2,238,0.6207725033658926
52,0,c1_c2,277,0.6418795533615924
53,0,c1_c2,327,0.6178314265697689
54,0,c1_c2,391,0.5999697941680227
55,0,c1_c2,472,0.6012851621982138
56,0,c1_c2,577,0.6226398334670753
57,0,c1_c2,710,0.6211172883550925
58,0,c1_c2,881,0.6430188973350552
59,0,c1_c2,1100,0.6542521681799907
60,0,c1_c3,200,0.5733642275887586
61,0,c1_c3,238,0.5954525203761323
62,0,c1_c3,293,0.5908923302111725
63,0,c1_c3,368,0.6038720164136824
64,0,c1_c3,472,0.6234743150679509
65,0,c1_c3,617,0.6502062067108407
66,0,c1_c3,819,0.6764970439409638
67,0,c1_c3,1100,0.6685114816691421
68,0,c1_c3,1489,0.673823334756076
69,0,c1_c3,2030,0.6830421455702058
70,0,c1_c3,2782,0.6859676637714247
71,0,c1_c3,3827,0.6952429231035074
72,0,c1_c3,5279,0.7100297153259699
73,0,c1_c3,7296,0.7118077684432822
74,0,c1_c3,10100,0.7128685662480468
75,0,c2_c3,1100,0.6334422680754115
76,0,c2_c3,1138,0.6333038704743328
77,0,c2_c3,1193,0.6419450416222716
78,0,c2_c3,1268,0.6432281129688067
79,0,c2_c3,1372,0.6452087564976976
80,0,c2_c3,1517,0.6516172289744988
81,0,c2_c3,1719,0.6524525397886533
82,0,c2_c3,2000,0.6587019682080639
83,0,c2_c3,2389,0.6618814389018589
84,0,c2_c3,2930,0.6684141209060532
85,0,c2_c3,3682,0.6720937856626897
86,0,c2_c3,4727,0.6746401021273938
87,0,c2_c3,6179,0.6800584615510943
88,0,c2_c3,8196,0.6843196227934107
89,0,c2_c3,11000,0.6871355275040187
90,0,c1_c2,131,0.5733642275887586
91,0,c1_c2,140,0.5582546332449035
92,0,c1_c2,151,0.5567237311505716
93,0,c1_c2,166,0.5457969827003308
94,0,c1_c2,184,0.5853567624773418
95,0,c1_c2,208,0.5986666652501584
96,0,c1_c2,238,0.6207725033658926
97,0,c1_c2,277,0.6418795533615924
98,0,c1_c2,327,0.6178314265697689
99,0,c1_c2,391,0.5999697941680227
100,0,c1_c2,472,0.6012851621982138
101,0,c1_c2,577,0.6226398334670753
102,0,c1_c2,710,0.6211172883550925
103,0,c1_c2,881,0.6430188973350552
104,0,c1_c2,1100,0.6542521681799907
105,0,c1_c3,200,0.5733642275887586
106,0,c1_c3,238,0.5954525203761323
107,0,c1_c3,293,0.5908923302111725
108,0,c1_c3,368,0.6038720164136824
109,0,c1_c3,472,0.6234743150679509
