,run,client,samples,r2
0,0,c1_c2,100,0.24036488810119638
1,0,c1_c2,131,0.024036072281260146
2,0,c1_c2,140,0.055205293676819034
3,0,c1_c2,151,0.11157964951266386
4,0,c1_c2,166,-0.14965674942558027
5,0,c1_c2,184,-0.11301240944211033
6,0,c1_c2,208,-0.13964760565644152
7,0,c1_c2,238,-0.20768969889940525
8,0,c1_c2,277,-0.30779946975016226
9,0,c1_c2,327,-0.3029955748260227
10,0,c1_c2,391,-0.2779619545003833
11,0,c1_c2,472,-0.33081704812472434
12,0,c1_c2,577,-0.3627285583702653
13,0,c1_c2,710,-0.6277118924607896
14,0,c1_c2,881,-0.6176291722684206
15,0,c1_c2,1100,-0.6176291722684206
16,0,c1_c3,100,0.24036488810119638
17,0,c1_c3,200,-0.045829084657609265
18,0,c1_c3,238,-0.2856784208785823
19,0,c1_c3,293,-0.6313215450124303
20,0,c1_c3,368,-0.9626471189386807
21,0,c1_c3,472,-0.9027384465233672
22,0,c1_c3,617,-1.0139929127675193
23,0,c1_c3,819,-0.997749648339278
24,0,c1_c3,1100,-1.0881468083500896
25,0,c1_c3,1489,-1.2623065622745142
26,0,c1_c3,2030,-1.4288740771903452
27,0,c1_c3,2782,-1.4420834301020031
28,0,c1_c3,3827,-1.524508602503213
29,0,c1_c3,5279,-1.5362337177838525
30,0,c1_c3,7296,-1.5025119747106865
31,0,c1_c3,10100,-1.5025119747106865
32,0,c2_c3,1000,0.6713610299154127
33,0,c2_c3,1100,0.6698334134120915
34,0,c2_c3,1138,0.6712993257290268
35,0,c2_c3,1193,0.6816368193750597
36,0,c2_c3,1268,0.6836014590383301
37,0,c2_c3,1372,0.6893445850423305
38,0,c2_c3,1517,0.6895530754086188
39,0,c2_c3,1719,0.688136763568427
40,0,c2_c3,2000,0.6756650858477748
41,0,c2_c3,2389,0.676605054890306
42,0,c2_c3,2930,0.666945686836817
43,0,c2_c3,3682,0.6644957145295713
44,0,c2_c3,4727,0.6558631196553928
45,0,c2_c3,6179,0.655465237370707
46,0,c2_c3,8196,0.6412483028907523
47,0,c2_c3,11000,0.6412483028907523
48,1,c1_c2,100,0.37754038588363414
49,1,c1_c2,131,0.3096104824594379
50,1,c1_c2,140,0.2337173346662278
51,1,c1_c2,151,0.2064054331329408
52,1,c1_c2,166,0.22454193536030898
53,1,c1_c2,184,0.1716318194194536
54,1,c1_c2,208,0.09927516161244054
55,1,c1_c2,238,0.1493286892656016
56,1,c1_c2,277,0.08546636863735246
57,1,c1_c2,327,0.053250649035116226
58,1,c1_c2,391,0.053796839571482735
59,1,c1_c2,472,0.030070801037297312
60,1,c1_c2,577,-0.1308830973241908
61,1,c1_c2,710,-0.15368940363513772
62,1,c1_c2,881,-0.24960235319372415
63,1,c1_c2,1100,-0.24960235319372415
64,1,c1_c3,100,0.37754038588363414
65,1,c1_c3,200,-0.13497144023003727
66,1,c1_c3,238,-0.15669664417618345
67,1,c1_c3,293,-0.2164225524572745
68,1,c1_c3,368,-0.29009489570244185
69,1,c1_c3,472,-0.8082283573891329
70,1,c1_c3,617,-0.8637756514379755
71,1,c1_c3,819,-0.8665048214848305
72,1,c1_c3,1100,-0.9278006187405827
73,1,c1_c3,1489,-0.9611244257217875
74,1,c1_c3,2030,-1.0779524447521154
75,1,c1_c3,2782,-1.163707052813856
76,1,c1_c3,3827,-1.2231937036977323
77,1,c1_c3,5279,-1.3653735022750504
