,run,client,samples,r2
0,0,0,10,-0.9306532796601252
1,0,0,11,-1.1986344264007567
2,0,0,13,-0.3952820340142673
3,0,0,16,-0.03301464648366714
4,0,0,19,-0.10413057750666588
5,0,0,22,-0.07827218346527975
6,0,0,26,-0.1552307641247297
7,0,0,31,-0.181371056224088
8,0,0,37,-0.1650335018636382
9,0,0,43,-0.15131283504220194
10,0,0,51,0.049509305891819344
11,0,0,61,0.10014409073470942
12,0,0,71,0.15071638689107214
13,0,0,84,0.1769793965817028
14,0,0,100,0.1769793965817028
15,0,1,31,0.16526921486932922
16,0,1,40,0.10682175117438186
17,0,1,51,0.2647988397978803
18,0,1,66,0.4065930452827149
19,0,1,84,0.44496057552939405
20,0,1,108,0.45230157990077
21,0,1,138,0.5176015912393797
22,0,1,177,0.5688011414097702
23,0,1,227,0.5710444128542931
24,0,1,291,0.5924956788655991
25,0,1,372,0.621594719755938
26,0,1,477,0.6455658767879899
27,0,1,610,0.6449212623215689
28,0,1,781,0.6738687612767098
29,0,1,1000,0.6738687612767098
30,0,2,100,0.32022182193226933
31,0,2,138,0.4357832656604099
32,0,2,193,0.5151927531439457
33,0,2,268,0.5570265514794481
34,0,2,372,0.6045042809672954
35,0,2,517,0.638594050907088
36,0,2,719,0.6418217266125026
37,0,2,1000,0.6571050918142933
38,0,2,1389,0.6673905125402233
39,0,2,1930,0.6787069618471988
40,0,2,2682,0.6825493175162578
41,0,2,3727,0.6847537674844806
42,0,2,5179,0.6880390989025001
43,0,2,7196,0.6959416865974555
44,0,2,10000,0.6959416865974555
45,1,0,10,-0.9235820845384131
46,1,0,11,-1.3384763467635183
47,1,0,13,-0.768336069712307
48,1,0,16,-0.06408486241052525
49,1,0,19,-0.013865197845208677
50,1,0,22,0.04373752672175024
51,1,0,26,-0.005918996372618945
52,1,0,31,0.02669717891911294
53,1,0,37,0.030982763776223
54,1,0,43,0.1773705665790707
55,1,0,51,0.3076047706402586
56,1,0,61,0.3435614645736813
57,1,0,71,0.3528448347091099
58,1,0,84,0.37659188220592754
59,1,0,100,0.37659188220592754
60,1,1,31,0.024676022510573548
61,1,1,40,-0.032802587373591985
62,1,1,51,0.39895964825076
63,1,1,66,0.44294671143703046
64,1,1,84,0.4795854211625501
65,1,1,108,0.4741070063001326
66,1,1,138,0.5520484456403827
67,1,1,177,0.5639706885502254
68,1,1,227,0.5848691969736194
69,1,1,291,0.6184450691590655
70,1,1,372,0.6264132122675445
71,1,1,477,0.6363197790630395
72,1,1,610,0.6447525560045237
73,1,1,781,0.6560772538743644
74,1,1,1000,0.6560772538743644
75,1,2,100,0.38035166877717264
76,1,2,138,0.5220312456360827
77,1,2,193,0.6060038118420767
78,1,2,268,0.6611765164327661
79,1,2,372,0.7098646670900124
80,1,2,517,0.7243253846562022
81,1,2,719,0.738460360733322
82,1,2,1000,0.7473819562019932
83,1,2,1389,0.7543148785707943
84,1,2,1930,0.760654861539991
85,1,2,2682,0.768889419953902
86,1,2,3727,0.7641342201458536
87,1,2,5179,0.7616920439589738
88,1,2,7196,0.7688941382682649
89,1,2,10000,0.7688941382682649
90,2,0,10,-0.4743417795167537
91,2,0,11,-0.964707638218953
92,2,0,13,-0.45616711313112135
93,2,0,16,-0.4393875079514906
94,2,0,19,-0.02995668216579861
95,2,0,22,-0.05324038935096098
96,2,0,26,-0.01585705817507166
97,2,0,31,0.017943930736470715
98,2,0,37,0.10831358484687159
99,2,0,43,0.07638208789449141
100,2,0,51,0.107336079640864
101,2,0,61,0.07818741484543368
102,2,0,71,0.11063106881276197
103,2,0,84,0.14612553276659268
104,2,0,100,0.14612553276659268
105,2,1,31,-0.09160108285680124
106,2,1,40,0.16403823572684928
107,2,1,51,0.19978063830401327
108,2,1,66,0.22225365454887946
109,2,1,84,0.4030201540655204
110,2,1,108,0.44966947846073246
111,2,1,138,0.4820304863581021
112,2,1,177,0.5544891420960121
113,2,1,227,0.5734424187176405
114,2,1,291,0.6107321994233126
115,2,1,372,0.630055228254059
116,2,1,477,0.6538414396772294
117,2,1,610,0.6513907627261122
118,2,1,781,0.6603584433594554
119,2,1,1000,0.6603584433594554
120,2,2,100,0.20279875373480927
121,2,2,138,0.5422953438480455
122,2,2,193,0.562645475912872
123,2,2,268,0.5899499668358616
124,2,2,372,0.6207434910612897
125,2,2,517,0.6346712010392357
126,2,2,719,0.646475829939277
127,2,2,1000,0.6561748969879669
128,2,2,1389,0.6757239248719866
129,2,2,1930,0.6739027131568625
130,2,2,2682,0.6815056055823534
131,2,2,3727,0.6755534965425125
132,2,2,5179,0.6803717321917846
133,2,2,7196,0.6879210004975319
134,2,2,10000,0.6879210004975319
135,3,0,10,-5.398086579720966
